LinkId,Geometry
115446,"LINESTRING(357317.39241 6688389.44060,357325.96359 6688372.47072,357329.65480 6688364.65967,357334.24239 6688355.16162)"
115944,"LINESTRING(357799.91003 6688144.11502,357812.33245 6688121.68477,357816.66767 6688116.49625)"
115945,"LINESTRING(357816.66767 6688116.49625,357812.33245 6688121.68477,357799.91003 6688144.11502)"
116308,"LINESTRING(356311.40034 6688610.58469,356310.27906 6688610.20423,356309.20302 6688609.68765,356308.23521 6688609.07582,356307.33659 6688608.34875,356306.53173 6688607.53839,356305.82000 6688606.63367,356305.21779 6688605.65587,356304.73329 6688604.61567,356304.36022 6688603.53567,356304.12127 6688602.41456,356304.01014 6688601.27497,356304.19775 6688598.87204)"
116309,"LINESTRING(356304.19775 6688598.87204,356304.52864 6688597.64023,356305.00693 6688596.46669,356305.63264 6688595.35141,356306.38501 6688594.32897,356307.27223 6688593.41003,356308.25779 6688592.61894,356309.34107 6688591.94460,356310.50065 6688591.41051,356311.71453 6688591.02906,356312.96757 6688590.80113,356314.24530 6688590.73866,356315.51622 6688590.82122,356316.76650 6688591.07187,356317.97283 6688591.48081)"
116310,"LINESTRING(356317.97283 6688591.48081,356319.03312 6688591.98718,356320.03179 6688592.60835,356320.94553 6688593.33455,356321.76742 6688594.17731,356322.49490 6688595.09226,356323.10659 6688596.10288,356323.59236 6688597.16527,356323.95978 6688598.27898,356324.19245 6688599.42269,356324.29038 6688600.59643,356324.25165 6688601.76690,356324.07562 6688602.92304,356323.76921 6688604.05330,356323.33178 6688605.14660,356322.76897 6688606.16925,356322.09653 6688607.13145)"
116311,"LINESTRING(356322.09653 6688607.13145,356322.76897 6688606.16925,356323.33178 6688605.14660,356323.76921 6688604.05330,356324.07562 6688602.92304,356324.25165 6688601.76690,356324.29038 6688600.59643,356324.19245 6688599.42269,356323.95978 6688598.27898,356323.59236 6688597.16527,356323.10659 6688596.10288,356322.49490 6688595.09226,356321.76742 6688594.17731,356320.94553 6688593.33455,356320.03179 6688592.60835,356319.03312 6688591.98718,356317.97283 6688591.48081,356316.76650 6688591.07187,356315.51622 6688590.82122,356314.24530 6688590.73866,356312.96757 6688590.80113,356311.71453 6688591.02906,356310.50065 6688591.41051,356309.34107 6688591.94460,356308.25779 6688592.61894,356307.27223 6688593.41003,356306.38501 6688594.32897,356305.63264 6688595.35141,356305.00693 6688596.46669,356304.52864 6688597.64023,356304.19775 6688598.87204,356304.01014 6688601.27497,356304.12127 6688602.41456,356304.36022 6688603.53567,356304.73329 6688604.61567,356305.21779 6688605.65587,356305.82000 6688606.63367,356306.53173 6688607.53839,356307.33659 6688608.34875,356308.23521 6688609.07582,356309.20302 6688609.68765,356310.27906 6688610.20423,356311.40034 6688610.58469)"
116351,"LINESTRING(354753.07603 6688477.04005,354753.35834 6688479.56052,354753.28604 6688482.63556,354752.81651 6688484.08690,354733.53587 6688517.78033,354726.20011 6688530.03207,354701.26047 6688575.85811)"
116352,"LINESTRING(354701.26047 6688575.85811,354726.20011 6688530.03207,354733.53587 6688517.78033,354752.81651 6688484.08690,354753.28604 6688482.63556,354753.35834 6688479.56052,354753.07603 6688477.04005)"
116353,"LINESTRING(354804.98499 6688217.00821,354797.10597 6688218.69902,354782.23048 6688216.88924,354777.92886 6688214.49004,354689.93528 6688206.00714,354675.53924 6688205.01548,354647.19445 6688201.98277,354613.99670 6688199.34233)"
116354,"LINESTRING(354949.77158 6688230.87596,354949.23291 6688235.59128,354948.96914 6688238.76639,354942.08387 6688300.91540)"
116355,"LINESTRING(354942.08387 6688300.91540,354948.96914 6688238.76639,354949.23291 6688235.59128,354949.77158 6688230.87596)"
116356,"LINESTRING(354942.08387 6688300.91540,354941.38565 6688307.85407,354936.93929 6688361.56187,354936.41256 6688368.05671)"
116357,"LINESTRING(354936.41256 6688368.05671,354936.93929 6688361.56187,354941.38565 6688307.85407,354942.08387 6688300.91540)"
116365,"LINESTRING(355250.67915 6688396.71143,355250.87816 6688395.43154,355251.17171 6688394.21294,355251.58745 6688393.00954,355252.05622 6688391.93659,355252.64526 6688390.84556,355253.29297 6688389.85128,355254.19121 6688388.73127,355255.01350 6688387.87155,355255.90073 6688387.08596,355256.46647 6688386.64160,355256.98380 6688386.27792,355257.88449 6688385.72521,355258.67887 6688385.30102,355259.93666 6688384.76105,355261.24684 6688384.34045,355262.64719 6688384.03702,355263.86631 6688383.87758,355264.88779 6688383.84082,355266.01891 6688383.86448)"
116366,"LINESTRING(355266.01891 6688383.86448,355267.57721 6688384.06374,355268.69847 6688384.31050,355269.64721 6688384.58948,355270.78692 6688385.02432,355271.84799 6688385.54159,355272.97029 6688386.19996,355273.90366 6688386.86924,355274.92478 6688387.74486,355275.75504 6688388.59812,355276.46311 6688389.43619,355277.08178 6688390.30168,355277.59273 6688391.14001,355278.12212 6688392.16642,355278.63410 6688393.41636,355278.94998 6688394.42173,355279.20104 6688395.48647,355279.39191 6688396.82172,355279.45662 6688397.94174,355279.43448 6688399.13352)"
116367,"LINESTRING(355279.43448 6688399.13352,355279.32844 6688400.18552,355279.12109 6688401.32125,355278.85443 6688402.34914,355278.48390 6688403.41642,355277.96735 6688404.58113,355277.46758 6688405.51123,355276.92554 6688406.36589,355276.34879 6688407.14467,355275.70210 6688407.89411,355274.84958 6688408.75557,355274.30907 6688409.24297,355273.63446 6688409.77150,355272.73697 6688410.37966,355271.68016 6688410.98590,355270.44696 6688411.55783,355269.30996 6688411.95730,355267.89770 6688412.31704,355266.56024 6688412.52783,355265.15464 6688412.60903,355263.96178 6688412.56668)"
116368,"LINESTRING(355263.96178 6688412.56668,355262.58743 6688412.40130,355261.52035 6688412.17367,355259.94540 6688411.68609,355258.79493 6688411.19624,355257.69224 6688410.61463)"
